ds,trend,cap,floor,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,battery_price,battery_price_lower,battery_price_upper,ev_stocks,ev_stocks_lower,ev_stocks_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,solar,solar_lower,solar_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,Final_Forecast
2010-01-01,670547.9445889373,60000000,7450,0.0,691206.8882758606,670547.9445889373,670547.9445889373,-596304.6283361928,-596304.6283361928,-596304.6283361928,256169.0829049919,256169.0829049919,256169.0829049919,-2568540.6888917703,-2568540.6888917703,-2568540.6888917703,0.0,-596304.6283361928,-596304.6283361928,1716066.9776505858,1716066.9776505858,1716066.9776505858,0.0,0.0,0.0,74243.31625274452,63106.81881483284
2011-01-01,810228.352679816,60000000,7450,0.0,676870.5174039579,810228.352679816,810228.352679816,-740769.9753999433,-740769.9753999433,-740769.9753999433,210484.17753561764,210484.17753561764,210484.17753561764,-2537112.151921096,-2537112.151921096,-2537112.151921096,0.0,-740769.9753999433,-740769.9753999433,1585857.9989855343,1585857.9989855343,1585857.9989855343,0.0,0.0,0.0,69458.37727987266,59039.62068789176
2012-01-01,978850.4427383144,60000000,7450,0.0,722648.2693988446,978850.4427383144,978850.4427383144,-876361.3804321303,-876361.3804321303,-876361.3804321303,164799.27216624343,164799.27216624343,164799.27216624343,-2491114.740986448,-2491114.740986448,-2491114.740986448,0.0,-876361.3804321303,-876361.3804321303,1449954.088388075,1449954.088388075,1449954.088388075,0.0,0.0,0.0,102489.0623061842,87115.70296025657
2013-01-01,1182799.106498736,60000000,7450,0.0,814602.888474699,1182799.106498736,1182799.106498736,-978479.6777514198,-978479.6777514198,-978479.6777514198,119114.36679686922,119114.36679686922,119114.36679686922,-2408193.260477423,-2408193.260477423,-2408193.260477423,0.0,-978479.6777514198,-978479.6777514198,1310599.215929134,1310599.215929134,1310599.215929134,0.0,0.0,0.0,204319.42874731607,173671.51443521865
2014-01-01,1427801.068281893,60000000,7450,0.0,856175.6337633177,1427801.068281893,1427801.068281893,-1164574.093861504,-1164574.093861504,-1164574.093861504,73429.46142749501,73429.46142749501,73429.46142749501,-2294080.4442363963,-2294080.4442363963,-2294080.4442363963,0.0,-1164574.093861504,-1164574.093861504,1056076.8889473972,1056076.8889473972,1056076.8889473972,0.0,0.0,0.0,263226.9744203889,223742.92825733058
2015-01-01,1722384.709158725,60000000,7450,0.0,1077656.5234513006,1722384.709158725,1722384.709158725,-1278090.6263788224,-1278090.6263788224,-1278090.6263788224,27744.55605812076,27744.55605812076,27744.55605812076,-2144294.1196125373,-2144294.1196125373,-2144294.1196125373,0.0,-1278090.6263788224,-1278090.6263788224,838458.9371755944,838458.9371755944,838458.9371755944,0.0,0.0,0.0,444294.08277990273,377649.9703629173
2016-01-01,2075907.9535578531,60000000,7450,117561.64843593525,1358511.957259941,2075907.9535578531,2075907.9535578531,-1337750.5520524948,-1337750.5520524948,-1337750.5520524948,-10538.88419554478,-10538.88419554478,-10538.88419554478,-1905761.1821687075,-1905761.1821687075,-1905761.1821687075,0.0,-1337750.5520524948,-1337750.5520524948,578549.5143117572,578549.5143117572,578549.5143117572,0.0,0.0,0.0,738157.4015053585,627433.7912795547
2017-01-01,2500458.387338296,60000000,7450,478113.162245695,1693162.4112818807,2500458.387338296,2500458.387338296,-1386443.2811069528,-1386443.2811069528,-1386443.2811069528,-48822.32444921032,-48822.32444921032,-48822.32444921032,-1513952.9689928289,-1513952.9689928289,-1513952.9689928289,0.0,-1386443.2811069528,-1386443.2811069528,176332.01233508647,176332.01233508647,176332.01233508647,0.0,0.0,0.0,1114015.1062313432,946912.8402966417
2018-01-01,3006123.605454253,60000000,7450,1156877.7159903708,2410755.4796277285,3006123.605454253,3006123.605454253,-1208456.8511546643,-1208456.8511546643,-1208456.8511546643,-87105.76470287591,-87105.76470287591,-87105.76470287591,-879093.4398358321,-879093.4398358321,-879093.4398358321,0.0,-1208456.8511546643,-1208456.8511546643,-242257.6466159566,-242257.6466159566,-242257.6466159566,0.0,0.0,0.0,1797666.7542995885,1528016.7411546502
2019-01-01,3607932.168160782,60000000,7450,1980914.8704938467,3153104.1762566296,3607932.168160782,3607932.168160782,-1053652.8737117853,-1053652.8737117853,-1053652.8737117853,-105086.22047534752,-105086.22047534752,-105086.22047534752,-310443.4552586526,-310443.4552586526,-310443.4552586526,0.0,-1053652.8737117853,-1053652.8737117853,-638123.1979777853,-638123.1979777853,-638123.1979777853,0.0,0.0,0.0,2554279.294448997,2171137.400281647
2020-01-01,4321376.840853689,60000000,7450,3135456.5079451986,4357799.754896118,4321376.840853689,4321376.840853689,-560850.6686876552,-560850.6686876552,-560850.6686876552,-123066.67624781908,-123066.67624781908,-123066.67624781908,622566.4625015444,622566.4625015444,622566.4625015444,0.0,-560850.6686876552,-560850.6686876552,-1060350.4549413803,-1060350.4549413803,-1060350.4549413803,0.0,0.0,0.0,3760526.172166034,3196447.246341129
2021-01-01,5165766.223160619,60000000,7450,5478978.489445475,6659997.468402346,5165766.223160619,5165766.223160619,888204.6534944254,888204.6534944254,888204.6534944254,-141059.89316704188,-141059.89316704188,-141059.89316704188,2627339.1987972595,2627339.1987972595,2627339.1987972595,888204.6534944254,888204.6534944254,888204.6534944254,-1598074.6521357922,-1598074.6521357922,-1598074.6521357922,0.0,0.0,0.0,6053970.876655044,5145875.245156787
2022-01-01,6154252.220145066,60000000,7450,8919272.522915293,10111351.68663488,6154252.220145066,6154252.220145066,3344008.486843442,3344008.486843442,3344008.486843442,-159040.34893951347,-159040.34893951347,-159040.34893951347,5751979.597997803,5751979.597997803,5751979.597997803,3344008.486843442,3344008.486843442,3344008.486843442,-2248930.762214848,-2248930.762214848,-2248930.762214848,0.0,0.0,0.0,9498260.706988508,8073521.600940231
2023-01-01,7306945.49748411,60000000,7450,13667117.733362066,14865843.4808378,7306945.49748411,7306945.49748411,6949521.468535698,6949521.468535698,6949521.468535698,-177020.80471198502,-177020.80471198502,-177020.80471198502,10050701.193085087,10050701.193085087,10050701.193085087,6949521.468535698,6949521.468535698,6949521.468535698,-2924158.919837404,-2924158.919837404,-2924158.919837404,0.0,0.0,0.0,14256466.96601981,12117996.921116838
2024-01-01,8641140.658318123,60000000,7450,17276237.421755187,18475662.37606301,8641140.658318251,8641140.658318255,9262108.106511263,9262108.106511263,9262108.106511263,-184642.6391384533,-184642.6391384533,-184642.6391384533,12569984.746721895,12569984.746721895,12569984.746721895,9262108.106511263,9262108.106511263,9262108.106511263,-3123234.0010721777,-3123234.0010721777,-3123234.0010721777,0.0,0.0,0.0,17903248.764829386,15217761.450104978
2025-01-01,10176633.381583456,60000000,7450,21072030.247634,22325235.00015979,10176633.371400353,10176633.393105874,11491329.922472913,11491329.922472913,11491329.922472913,-193250.8184141233,-193250.8184141233,-193250.8184141233,15105497.946299735,15105497.946299735,15105497.946299735,11491329.922472913,11491329.922472913,11491329.922472913,-3420917.205412703,-3420917.205412703,-3420917.205412703,0.0,0.0,0.0,21667963.30405637,18417768.808447912
2026-01-01,11916799.052526398,60000000,7450,24919468.958423525,26108682.587571096,11916799.0170238,11916799.094161231,13630361.53379708,13630361.53379708,13630361.53379708,-201211.7272522799,-201211.7272522799,-201211.7272522799,17537405.610043805,17537405.610043805,17537405.610043805,13630361.53379708,13630361.53379708,13630361.53379708,-3705832.348994444,-3705832.348994444,-3705832.348994444,0.0,0.0,0.0,25547160.58632348,21715086.498374958
2027-01-01,13871880.786110671,60000000,7450,28983575.214384604,30206434.48242012,13871880.707083791,13871880.87688858,15717436.372786935,15717436.372786935,15717436.372786935,-209452.1401591748,-209452.1401591748,-209452.1401591748,19895558.05938934,19895558.05938934,19895558.05938934,15717436.372786935,15717436.372786935,15717436.372786935,-3968669.546443225,-3968669.546443225,-3968669.546443225,0.0,0.0,0.0,29589317.15889761,25150919.585062966
2028-01-01,16040893.258495076,60000000,7450,33177563.67658616,34408638.98625088,16040893.120278962,16040893.411171071,17739560.027775865,17739560.027775865,17739560.027775865,-217236.9475918412,-217236.9475918412,-217236.9475918412,22174552.40993146,22174552.40993146,22174552.40993146,17739560.027775865,17739560.027775865,17739560.027775865,-4217755.434563752,-4217755.434563752,-4217755.434563752,0.0,0.0,0.0,33780453.28627094,28713385.293330297
2029-01-01,18420598.88593695,60000000,7450,37508399.44426289,38714872.71954182,18420598.67092444,18420599.12528072,19704940.78841038,19704940.78841038,19704940.78841038,-225155.94015077612,-225155.94015077612,-225155.94015077612,24379299.48991009,24379299.48991009,24379299.48991009,19704940.78841038,19704940.78841038,19704940.78841038,-4449202.761348936,-4449202.761348936,-4449202.761348936,0.0,0.0,0.0,38125539.674347326,32406708.723195225
2030-01-01,20977723.06062516,60000000,7450,41983780.45986645,43253412.17950202,20977722.76049185,20977723.406230483,21611425.514227115,21611425.514227115,21611425.514227115,-232742.55394471608,-232742.55394471608,-232742.55394471608,26511551.15809705,26511551.15809705,26511551.15809705,21611425.514227115,21611425.514227115,21611425.514227115,-4667383.089925222,-4667383.089925222,-4667383.089925222,0.0,0.0,0.0,42589148.57485227,36200776.28862443
